+-----------------------------------------------------------------+---------+
| plugin                                                          | CountOf |
| [visual-link-preview]                                           |       2 |
| [what-the-file]                                                 |       2 |
| [wp-retina-2x]                                                  |       2 |
| [icegram]                                                       |       2 |
add_action( 'wp_ajax_nopriv_display_messages', array( &$this, 'display_messages' ) ); sqli
| [woocommerce-customizer]                                        |       2 |
| [wp-resized-image-quality]                                      |       2 |
| [wysija-newsletters]                                            |       2 |
| [wp-emoji-one]                                                  |       2 |
| [wp-sentry-integration]                                         |       2 |
| [wp-sms]                                                        |       2 |
| [wp-statistics]                                                 |       2 |
| [plezi]                                                         |       2 |
stored xss in json api
| [hungryfeed]                                                    |       2 |
| [otter-blocks]                                                  |       2 |
| [password-bcrypt]                                               |       2 |
| [query-monitor]                                                 |       2 |
| [pressable-automated-migration]                                 |       2 |
| [twenty20]                                                      |       2 |
| [tweetmeme]                                                     |       2 |
| [twitter]                                                       |       2 |
| [white-label-cms]                                               |       2 |
| [user-spam-remover]                                             |       2 |
| [woocommerce-shipstation-integration]                           |       2 |
| [acf-enhanced-message-field]                                    |       1 |
| [acf-autosize]                                                  |       1 |
| [acf-quickedit-fields]                                          |       1 |
| [acf-flexible-content-preview]                                  |       1 |
| [acf-ninjaforms-add-on]                                         |       1 |
| [404-to-start]                                                  |       1 |
| [activity-log-wp-seo]                                           |       1 |
| [acf-restrict-color-picker]                                     |       1 |
| [ad-inserter]                                                   |       1 |
| [admin-custom-login]                                            |       1 |
| [acf-tooltip]                                                   |       1 |
| [acf-stylizer]                                                  |       1 |
| [ajax-thumbnail-rebuild]                                        |       1 |
| [ari-adminer]                                                   |       1 |
| [any-ipsum]                                                     |       1 |
| [animated-blocks]                                               |       1 |
| [advanced-custom-fields-font-awesome]                           |       1 |
| [adobe-dtm]                                                     |       1 |
| [avatar-manager]                                                |       1 |
| [advanced-excerpt]                                              |       1 |
| [amcharts-charts-and-maps]                                      |       1 |
| [async-javascript]                                              |       1 |
| [bdthemes-element-pack-lite]                                    |       1 |
| [astra-sites]                                                   |       1 |
| [bloom-for-publishers]                                          |       1 |
| [block-visibility]                                              |       1 |
| [block-builder]                                                 |       1 |
| [astra-import-export]                                           |       1 |
| [astra-bulk-edit]                                               |       1 |
| [auto-upload-images]                                            |       1 |
| [bing-site-verification-using-meta-tag]                         |       1 |
| [baidu-tongji-generator]                                        |       1 |
| [beepress]                                                      |       1 |
| [acf-gravityforms-add-on]                                       |       1 |
| [backupwordpress]                                               |       1 |
| [admin-menu-tree-page-view]                                     |       1 |
| [caldera-forms]                                                 |       1 |
| [callrail-phone-call-tracking]                                  |       1 |
| [cloudflare]                                                    |       1 |
| [css-javascript-toolbox]                                        |       1 |
| [dashboard-post-it]                                             |       1 |
| [cpt-onomies]                                                   |       1 |
| [custom-post-widget]                                            |       1 |
| [cyr2lat]                                                       |       1 |
| [devvn-image-hotspot]                                           |       1 |
| [dragdropr]                                                     |       1 |
| [disable-xml-rpc-api]                                           |       1 |
add_action( 'wp_ajax_nopriv_dnd_codedropz_upload', 'dnd_upload_cf7_upload' ); unauth stored xss
add_action('wp_ajax_nopriv_dnd_codedropz_upload_delete', 'dnd_codedropz_upload_delete');
| [drag-and-drop-multiple-file-upload-contact-form-7]             |       1 |
| [custom-post-type-permalinks]                                   |       1 |
| [content-protector]                                             |       1 |
| [email-subscribers]                                             |       1 |
add_action( 'admin_init', array( 'ES_Workflow_Admin_Edit', 'maybe_save' ) ); deserialization
| [conditional-menus]                                             |       1 |
| [categorytinymce]                                               |       1 |
| [events-tracker-for-elementor]                                  |       1 |
| [download-monitor]                                              |       1 | 
add_action( 'parse_request', array( $this, 'handler' ), 0 );
add_action( 'template_redirect', array( $this, 'handle_ajax' ), 0 );
| [customizer-search]                                             |       1 |
| [filename-based-asset-cache-busting]                            |       1 |
| [custom-css-js]                                                 |       1 |
| [bv-pantheon-migration]                                         |       1 |
